,rating,name,review,verified,vote,date,length
15,positive,Amazon Customer,Great to take gps anywhere,True,0.0,18.03.2018,5
16,neutral,Matt Kallio,It is only slightly larger than the light it attaches to as is readily obvious It turns out this is of course important The whole point of a softbox is to be BIG to create a large light source So do not expect this to do that It just creates a softer light for closeups and product photos,True,0.0,15.01.2018,58
18,neutral,Matt Crouse,First I consider myself very tech savvy and have a pretty good understanding what is possible with this type of technology Second I am fairly disappointed in the Arlo Security System Despite the overwhelming number of positive reviews I do not think this product deserves the fan support it has acquired I am trying to use this product to record my elderly dog using our deck stairs He has had falls in the past and we want to be altered every time he uses the stairs so we can watch him and come to his rescue if he has troubles For this use case I was attracted to the Arlo system because it was Battery Powered had motion detection night vision days of free recording and had push notifications Unfortunately all but the night vision and day recording live up to the hype Pros Wireless range is impressive Magnet mounting system is both cool and practical Weather resistant Video is clear and crisp Night vision is impressive given the devices size Phone app Cons Motion detection is unreliable and seems to only work if a significant portion of the screen is in motion aka not suitible for covering a large area like a front lawn but good for a specific location like JUST the front door Battery life is questionable only used for hours and the battery is already at no Zones If This Then That functionality is false advertising as far as I am concerned as its limited to IF camera A detection motion the do you want it to record or not can not even have IF camera A detects motion tell all cameras to record I question the weather resistance and notice that many people buy the silicone covers I have timed the motion delay from seconds to seconds No desktop app to receive desktop notifications What the devices is good for It is good for a no hassle video security solution for monitoring a specific space that does not get much activity would not use for a baby cam for an example If you want to monitor a door or a specific small room I think it would work well What the device is bad for Monitoring any large space Motion detection seems only sensitive to large objects making large movements hence if you are recording a large space all the moving actors will be too small to trigger recording,True,0.0,21.05.2018,404
20,neutral,jattor,works great with the Roku,True,0.0,26.05.2018,5
21,negative,Shaman Global,Greens look faded red No app support Poor connection Drops connection often and does not auto reconnect App is always an hour off Picture quality is very poor Colors are off Very very very poor customer service Promises broken and lies told Amazon had to intervene Full refund forced by Amazon Thanks Amazon,True,0.0,23.02.2018,53
22,neutral,Paul N. Clark,After about a year with this product I am a bit less happy with it The vertical and horizontal adjustment screws do not hold tight enough and the projector can walk a little bit over time or when a cord is changed,True,0.0,16.01.2018,42
25,negative,CC,I was very excited for this little camera in preparation of an upcoming trip away from my cat However despite having an easy setup and it resting virtually on top of my router the camera would not connect to WiFi I was never able to see a picture The rest button was incredible difficult to press without fear of breaking it and I could not get it reset to try set up again Ultimately its too much hassle for something that should be fairly straightforward Seeing that this is an issue that many other reviewers have had for years I am not confident that if I got a replacement it would be reliable when I actually need it to work ie when away from home Ill be returning this and going with another brand,True,0.0,21.08.2018,134
26,negative,Bill,Seemed like these should have worked like a charm but of the two one did not work at all and the second added a tremendous amount of noise to the outgoing audio,True,0.0,22.05.2018,32
27,positive,Ernest Hoagberg,Great fit looks oem when installed No warnings battery charged up fine and gives about hrs Will update if anything changes,True,0.0,19.09.2018,21
28,positive,brandon,Great clear picture Only downfall is that it is a pain in the ass to get it to connect online for remote viewing,True,0.0,31.07.2018,23
29,positive,Khalifah,Great protection when traveling about,True,0.0,22.05.2018,5
30,negative,56_Kruiser,I have the first version of Roku and this remote does not work for it Had to return,True,0.0,21.03.2018,18
31,negative,Fredrick H.,too slow,True,0.0,15.06.2018,2
33,positive,ROBERT TOMLINSON,Have several others not from Sony and they are good but the volume control and hearing the music is the best,True,0.0,02.05.2018,21
36,neutral,druuzil,Why does upgrading the RAM wipe your drive and force you to start all over I had uploaded like TB of media and configured my PLEX server Now PLEX for some reason does not work anymore and my media all got wiped I have the originals still but that much data transfer took a while Annoyed,True,0.0,08.08.2018,56
37,positive,Tokyo,Easy to connect and small enough to store Works with my Samsung Nook tablet,True,0.0,16.01.2018,14
40,neutral,Brandon,Great Mouse I smack it with my hand to turn it off It lays flat Only big issue is I use wheel click in my program I use and this does not have a missed wheel click,True,0.0,26.01.2018,37
41,negative,David in OK,I have tried to use it usb and does not work at all for only supports a single device on I thought Gee It would be great to have this mounted on the side of my monitor so I would not have to bend down open a door and look for open USB ports for flash drives headsets or game controllers Maybe its a Windows Pro thing or My Asus Motherboards USB Bus not liking the multiplexing do not know do not care I bought a different port hub and all is well mounted under the edge of my keyboard compartment,True,0.0,13.08.2018,101
42,positive,James,Works wonderfully for my car with two dvd players I needed one long enough from the trunk to the back seats with some extra slack It worked perfectly,True,0.0,11.05.2018,28
43,neutral,Andrea,Not the strength as stated,True,0.0,28.05.2018,5
44,positive,James Weiner,Good for the price Nothing fancy,True,0.0,17.03.2018,6
46,negative,Garren Beasley,They have a cute design they are just not very loud and my son has issues hearing anything on his kindle,True,0.0,25.02.2018,21
47,positive,Mitch,Must have for anyone using a camera This is the one to get,True,0.0,12.02.2018,13
48,neutral,ichard,It is ok maybe not as bad as some say I was able to connect to android Samsung tab but it maybe not as quick as I would like So most of the time I just manually touch the device to get picture or video Good just touch the picture button and it take a picture after a few second just touch the record button and it will take a video photos are fun but nicely built Kodak has something that looks similar Bad it said it a mp still it is terrible in IQ image quality Image looks soft need more resolution when you do to get any detail same with video it looks like p or less k is the horizontal resolution but it is do you need at least k then When your phone or tablet has bluetooth on it turns on automatically Good for some situation bad for other needs a power off button lock I like to keep my bluetooth on for other devices connection is slow but if connect for me no digital screen could be useful for video since connection to phone is so slow Note not sure how long batter life is as i charge it when I download my photos to the PC the software for your PC you need to download it separately It does not read files on the network like other nikon image viewer can Ok then is a fun device that works manually fine the cellphone connection while works takes too long at time You see the world differently or in I uploaded samples to flickr see link in comments,False,0.0,02.06.2018,273
49,neutral,Howard Frierman,nice little unit but mine had a defect so i had to return it Still for what it is it should prove to be a good tripod for those looking for something very light and adjustable with not too heavy usage,True,0.0,04.01.2018,41
50,neutral,RGP,Like the player however the WiFi not the greatest does buffer from time to time,True,0.0,03.06.2018,15
51,neutral,Joe B,Should have trusted the other reviewers who stated that it was too small It works but the buttons are very small,True,0.0,09.04.2018,21
52,negative,Scott,The male collar broke the first time I unplugged it Try another manufacturer if you really need this style,True,0.0,02.05.2018,19
53,positive,Amazon Customer,Compact case fits nicely in my camera kit backpack Nice range of ND filters Overall well worth the price,True,0.0,31.01.2018,19
54,neutral,Jeffrey Jenson,It could have been better suited for modem plugs they stick out had to use extra power strip,True,0.0,20.04.2018,18
55,negative,Ben Carter,So far not impressed An audible hum coming from the sub even when the head unit is off Disconnect the RCA inputs and it clears up I can turn the volume down on the sub and the hum goes away but then there is no base from the sub I am calling a bad amp I will try another set of rca cables but the ones I am using now are brand new so I am doubting if there is an issue with those,True,0.0,08.05.2018,84
57,negative,Jon,Used it once and connected it to the display port on my computer and it just can not be removed without running the risk of breaking the graphics card,True,0.0,27.03.2018,29
58,neutral,Timothy Day,Works perfectly every time I plug it in but the sound of the mic could be much better,True,0.0,01.06.2018,18
59,neutral,Leonardo Jimenez,it works,True,0.0,25.01.2018,2
62,neutral,Henry,good,True,0.0,09.05.2018,1
63,neutral,Matt G,My son is rough on his cords but I have gone through of these in months so quality could be better Luckily they are cheap,True,0.0,06.06.2018,25
64,positive,david d.,quality,True,0.0,18.02.2018,1
65,negative,Rosa M. Lugo,This alarm is not working anymore,True,0.0,04.06.2018,6
68,positive,Michael Molter,They seem to be better quality than the originals at a fraction of the price The original ear cups wore out cracked and flaked after about a year These replacements have been on my headphones for about a year now and show no signs of wear The quality is so good I considered ordering a backup box in case this supplier disappears when I need the next set,True,0.0,19.04.2018,68
69,negative,Jeremy Brenner,Quit working after the day return window,True,0.0,15.03.2018,7
70,positive,Echo,Works as intended,True,0.0,29.05.2018,3
71,negative,Mojave Narrows,Does not support K with a K AppleTV Wasted money,True,0.0,05.08.2018,10
72,positive,Amazon Customer,Just what I was looking for and at a great price,True,0.0,18.09.2018,11
73,neutral,Sherif,Not sure what is up with this one but it kept causing issues with the signal PCTV Grabbed a SecurOmax instead and it solved it,True,0.0,01.01.2018,25
74,negative,nick h.,Not as pictured pin is not open,True,0.0,15.05.2018,7
75,negative,K.T.,Ordered on June fan dead on June,True,0.0,29.06.2018,7
76,positive,Alexander Giovanelli,Good to have extras to connect I pod to instrument amplifiers,True,0.0,04.05.2018,11
78,positive,Robert M. Schecter,The unit is guaranteed for years We had another of our brownouts here in Florida one of the hundreds over the years Today the battery decided it had had enough I was horrified I thought id purchased it just a year or so ago Turns out the unit was purchased April and I have not had to think about it since then I can count on hand with fingers to spare the number of electronic devices that have been headache free and for so many years Just ordered the same one as a replacement Why mess with a good thing,True,0.0,29.06.2018,100
81,positive,Thomas,I love the sound quality of this product My only problem is the suction cup has stopped working well after one month and it has dropped on the tile floor about times from approx ft off the floor Now it does not sound as good as it did before Yes I have cleaned the suction cup and the surface I am adhering to but that does not help It stays on the tile wall for about seconds before popping off Disappointed really want to give it or stars If you are not going to depend on the suction cup do not hesitate to buy this Hopefully the manufacture will see this review and fix the problem UpdateThe manufacturer quickly responded to my review and immediately sent out a replacement The replacement has worked flawlessly so far Based on the replacement and level and customer service I am going to give this product a out of,True,4.0,26.01.2018,155
82,positive,brent,thank you,True,0.0,23.06.2018,2
84,neutral,Larry W.,It protects the tablet in storage The magnetism is not strong enough to hold the Tablet when standing up,True,0.0,03.06.2018,19
85,positive,AltariaOP,Fits a Dell XPS perfectly Pockets fit the charger and other accessories too,True,0.0,12.01.2018,13
86,neutral,Jacqueline Stufflebean,Ok,True,0.0,08.01.2018,1
87,positive,Roy Smith,GREAT,True,0.0,29.04.2018,1
89,negative,Amazon Customer,muchisima interferancia,True,0.0,23.01.2018,2
90,neutral,D Langsam,These are well enough made for the price but are too short to gator between pants and shoes They work well to keep debris out of my shoes though,True,0.0,22.08.2018,29
93,negative,PWH,Bought them as a gift exactly days ago for a Christmas present for my girlfriend she is had it all of about months and it will not charge Switched out USB cables with my known good charger and its the unit No returns apparently since its been days Charging cables are cheap Bought two and both mine and hers had the ends break off in the charging port Fortunately mine works with a replacement cable using the same power pack so plan on hitting Amazon for a quality cable month rental for a speaker we occasionally use apparently Otherwise sounds great I am just sorry I recommended it to my friends who have also bought dual pairs of them,True,7.0,21.02.2018,119
95,negative,Travis.Romig,The labeling says TB but the hard drive is TB I replaced my hard drive and I really do not use that much space I am not going to take the time to send it back Good job on you you sent out one of the cheaper hard drives,True,0.0,12.07.2018,49
96,negative,C3O,Its noisy when it switches songs and would skip around periodically like times in the span of a minute then play fine for a while You can hear it searching for each song too,True,0.0,28.01.2018,34
97,negative,DuLac,No instructions sent with it By the time we realized we could not figure out how to install it it was too late for a return,True,0.0,31.08.2018,26
98,neutral,Aaron,This cable was working fine for about weeks but using it at any angle that is not perfect will result in error Its basically low quality and you get what you pay for,True,0.0,17.04.2018,33
99,negative,Magnus,MPOW sent me a set of these unsolicited as a replacement for a different style of headphone that Id left a mediocre review for This replacement set is far worse For starters the band that goes behind the head is too short I can not even wear this headset But even if I could the headbandwire is very stiff and not supple The earbuds themselves are very rigid in positioning and not adjustable for comfort I do not think I ever would have bought this style of earbud anyway so I wish MPOW would have at least talked to me before sending them,False,0.0,06.06.2018,103
103,neutral,Kay,Loads fast couple apps that we use often Youtube Amazon and Netflix but after almost years of use it is starting to act up Will turn itself off and reboot while watching DVDBluray and takes you to smart hub screen Sometimes would not turn back on with remote nor onoff button In the latter case would unplug it and wait a min to get starting again,True,0.0,07.05.2018,66
104,negative,DCLXVI,It was unreliable at best and quit working less than year after buying it,True,0.0,26.07.2018,14
105,positive,Luis C.,This IPAD case is no different from the Apple one but it costs much less Great value,True,0.0,27.03.2018,17
106,positive,S. Renee,I like this cord so much I bought,True,0.0,08.01.2018,8
107,neutral,Arnold,The good the overall quality of video is good Not gopro but Its good for what it does Id pay more for better quality The built of camera is not too bad Definitely a plus that you can turn camera even to record yourself or someone at your window The bad At some distance the objects in video start to jump and float Definitely there is an issue there No wifi to transfer video to phone big minus,True,0.0,03.07.2018,78
110,neutral,Chuck the windsurfer,I bought two of these to extend my WiFi one way and the other way After about a week they started messing with my whole system Finally just unplug them and did not never plug them back in They did what they were supposed to do extend the WiFi But my computers and phones started not being able to hook up to my WiFi Soon as I Unplugged the extenders I was able to hook up again Each time I would restart the extenders and it would work for about a week and then mess up again Maybe is just my system but I still think they probably would work good I am just not using them anymore,True,0.0,26.04.2018,118
111,positive,Amazon Customer,Really nice,True,0.0,22.02.2018,2
118,negative,Woody,Connected these to a wireless modem and the input signal died It is rated for GSM but it appears that they are tuned for a different band Think twice before investing in these,True,0.0,03.01.2018,33
119,negative,RINGO,They do not work with my USB devices They do work with USB devices Returning,True,0.0,05.08.2018,15
120,negative,Henry D,Hi I just came here to say that Netgear DOCSIS modems are trash and I will never buy again I owned one that would randomly stall when watching things on Netflix Required constant rebooting to regain the MBPS speed we were paying for Thought it was my ISP for months Moved in with my girlfriend She had a Netgear DOCSIS modem different model SAME PROBLEM We quickly realized it was the modem Bought a Linksys DOCSIS modem and it works flawlessly Apparently confirming it was the Netgear trash modem I have also owned Motorola and Arris DOCSIS modems in the past and they worked fantastic as well Netgear trash you have been warned,True,0.0,28.02.2018,113
122,positive,Kadsl,I did not need this many zip ties at first but since purchasing these I have found zip ties to be duct tape adjacent,True,0.0,26.07.2018,24
123,neutral,The Engineer,You get what you pay for,True,0.0,06.03.2018,6
124,positive,A55A551N 11B3P,Using it in my Xeonbased Windows Server to add USB capability for some external hard drives Works as advertised,True,0.0,07.02.2018,19
128,neutral,Big Boomer,Bought this thinking wed get more TV content but some of the movies or shows run commercials every four minutes One half hour show ran minutes with all the commercials Other programs require that you sign up for a membership or already receive them on the cable TV box why use Roku to see what we already get on cable So we never use Roku,True,0.0,26.08.2018,65
130,negative,David H,Component MMI cable is female and had to buy malemale cable to connect correctlykinda dumb oversightall cable boxes have female connectors like other reviewers the software is very clunky if i end up returning which I might it will be because of the headaches from software Company seems very aware of the software issues and a hardware issue that simply requires holding down a button for a few seconds to clear an error msg HDCP so far no probs using HDMI connection to verizon cable box using premium channels to save movies form HBO etc so I can playback and elsewhereslingboxlike and DVR on the cheap I will be trying BluRay DVDs later and may update this review would be nice if it had PVR features like pause live tv and a digital tv tuner I have a separate digital tv tuner PVR for a tv that is not connected to cable That was a item does not seem to be any product that does both If my tunerPVR had inputs besides coaxial antenna such as HDMI and component I could use the coax out from cablebox in other room but the video quality would not be HD mixed message on USB storage formatting advertised as NTFS so large files are not split up into GB files instructions however strongly recommend FAT for stability I went ahead and used NTFS and no probs so far and consider I use the highest bitrate setting where errors would be more prone I use GB USB high speed rated card so I think the key is using high speed memory SanDisk Ultra Fit GB USB Flash Drive SDCZGGAM,True,4.0,09.01.2018,275
131,positive,ZDukE,Very nice product Protects my XIII perfectly well A must,True,0.0,12.07.2018,10
132,positive,Racter,Got this for my router works fine,True,0.0,06.05.2018,7
133,neutral,Amazon Customer,This is a product I will most likely keep but I need to spend hours to learn how to use it right,True,0.0,05.07.2018,22
134,positive,R E Hogwild,Love the quality of sound and control of the receiver by the app,True,0.0,07.06.2018,13
136,neutral,Fabio Z.,sound was good,True,0.0,29.03.2018,3
137,neutral,Christna Fredrick Kim,It really was not as fast as stated It felt like it was only SLIGHTLY faster than a regular HDD drive,True,0.0,10.06.2018,21
138,neutral,J. Bussjaeger,So far so good It is a good price for a this kind of keyboard Amazingly solid and seems high quality considering the price I am not yet sure about key replacement options because they seem nonstandard Extra buttons are nice and TWO pull tools to make switch and key removal easy I picked this over other similar options because it has easy key removal Star for PC for Mac user who does any key combos any Mac user will swap the alt and windows keys and then find out that creates a problem with fairly common combinations on mac LEFT SHIFT N P you I O all do not work right shift does so you have to change all your habits I have not found other problems yet It would be nice if they had a DIP switch or a more mac friendly mapping but I suspect it is wired up with this problem Saying gaming and anti ghosting does not mean that macs are safe I suspect they had to wire up a controller without enough IO and worked around that by targeting specific use cases so then it performs like a higher end gaming keyboard but only for that use I am not sure how Ill work around the limitations,True,0.0,01.06.2018,213
139,neutral,albo,will not allow you to use touch screen whole in the case But pretty much as advertised,True,0.0,01.01.2018,17
140,negative,Alecksa,Not DOA just did not work Tried two Windows machines Chromebook and OSX Driver issues on Windows and their website does not have a downloadable driver for this model It was getting power but it would not read any memory cards,True,0.0,16.03.2018,41
141,negative,Amber Lee,Received a mm instead of a mm so will be returning Not worth trying to order again as the price has increased,True,0.0,02.04.2018,22
142,negative,Curtis B.,DO NOT BUY Purchased for Windows imaging I was able to get the image on all drives but while imaging the first set of PCs of was unreadable Then on second set of PCs more became unreadable I tried to reimage the drives but they now just pop up as unrecognized USB drives I have tried to repair them with DiskPart on multiple PCs but they are dead DO NOT BUY If the seller reaches out to me I will edit this review accordingly,False,0.0,24.07.2018,84
143,negative,Chris W,Have had nothing but problems with this hub Some devices refuse to work through the hub Some work for a while and then freak out randomly until you unplug everything to reset it that is not great when its your keyboard and mouse in the middle of a competitive game would not buy again would not recommend,True,0.0,17.01.2018,57
144,neutral,Azriel Abyss,more of a plasticlike feel than the silicon originals but the work about the same Not bad,True,0.0,17.03.2018,17
146,neutral,Alejo_7_7,Too big and heavy not practical to carry on with a small bag,True,0.0,27.06.2018,13
147,negative,Falecia Green,I washed these sheets in cold water as soon as I got them I just took them out of the washer and the blue bled onto the white I am going to put them through another cycle and see if the dye washes out If not I will try and return them,True,5.0,23.03.2018,52
148,positive,Big Kev,Right out of the box this AVR Rocks I have been a ONKYO Fan for a long time For one reason they have always for whatever reason underrated the true Wattage Power of their transformers Like Overclocking in the computer world their Receivers usually hit higher than advertised One thing that really impresses me about this rig is that whatever you plug in with HDMI has intelligent design For example I watch our Cable TV I go over and turn on the BluRay player and insert a Disc as the door closes this unit automatically senses the disc loading up and switches to that mode The sound so like ONKYO is superior to anything in its price range and probably anything for hundreds of dollars more I love loud music Led Zeppelin Pink Floyd etc So when I put on a vinyl Record or CD and crank it up I can go to the hilt rattle windows before any sense of distortion is heard In fact I have not been able to detect any distortion at all and I have turned this almost all the way up There may be some at volume but if you have it that loud things may break in your home from the crisp pounding Bass Speaking of which I am a recording musician so many stereos emulate Bass and other frequencies that really sound flat or not quite real this unit produces musical instruments like they were meant to be heard especially from vinyl which in my opinion is still far superior in total realism and clarity The one thing I can say that seems strange to me is that the sound drops off to a indiscernible level at the volume setting of You would think it would do so much closer to Zero I really do not know what the top setting is I have not been able to go louder than at that level the windows in my house are rattling Does it go to Maybe I must add that I have not utilized the systems self adjusting speaker balancing software I do not think this is relevant in my environment as I have only main spoeakers so its set up in Stereo Mode This may have something to do with it do not know Our Home Theatre is downstairs where I have an older ONKYO AVR in a Setting at that does operate differently with speakers Theatre Stereo Anyway I highly recommend this AVR You can spend a lot more A good friend of mine has a K Plus DENON AVR and when he haerd this he simply said man did I get ripped your ONKYO kicks my DENONs butt,True,0.0,08.01.2018,449
149,negative,Michael D.,Update Now there are dead pixels starting to affect the screen and the flicker still continues Considering another monitor as this is becoming a distraction and should not be happening with a monitor of this caliber Wish I had seen general reviews of bad performance issues before making this purchase but other reviews of monitors of this time period suffer same problems At random there is a flicker which is annoying and there is bad bleed on the lower left of the screen when using the display port connection When using the HDMI with bit selection the bleed is not as noticeable but is still there and the flicker too I spent over for a new graphics card rated for K monitors thinking that would help and it did not The other K monitor I have connected does not flicker I am currently debating changing this monitor out with another due to the flickering,False,2.0,21.01.2018,154
150,neutral,KP,I would have given it star because it sounded so good I bought this for the training room at my company so that we did not have to do your traditional wall mount speakers with wires going all over the place It was a great buy and well worth it I will give you all the rating Sound Quality The quality of sound was great The roar and tetra bass excellent You can hear the all the Hz from the whole spectrum playing It gave enough mid bass to even rumble the table and stand The highs was clear and crisp I played all sorts of music through it I even included some training materials where a person spoke through the training This is a must have for those wanting to use this in a training class or a trainer who travels to train this would be a good item to take with them to assist with the noise Connectivity For I would have expected more Sure there is a lot of ways you can connect play your music even bluetooth When I paired my phone to it and streamed music it was spotty The I LTE on my phone and when the sound came out of my phone speakers they were good but it seem like either my phones bluetooth is not good or something is getting in the way of the the transmission I deemed its not my phone because i use bluetooth in my car and stream and there is no connection issues The other thing is you must disconnect your device before connect to the speaker Paying dollars and you can not connect devices simultaneously is not a good feature Cost For you get great sound but connectivity really lacked and slacked There are many other competitors who have better connectivity I would recommend Creative be more intuitive on the connectivity of this device Especially if they are asking consumers to fork up bucks for a bluetooth speaker Overall what made it only star instead of was the connectivity and the price you pay If this unit was around it would be worth while But being at you would expect more from the connectivity standpoint,False,0.0,14.02.2018,369
151,positive,terry voegeli,all and all good thanks,True,0.0,09.04.2018,5
156,neutral,Daniel Vasquez,Gets hot fast,True,0.0,16.04.2018,3
157,positive,Francisco Loo,Fits perfect to my Razer Kraken quality is okay recommended,True,0.0,20.03.2018,10
160,neutral,E. Davila,The lens bags appear well made and a decent value My only negative comment would be they are only sold as a set I only needed two of them but had to buy three,True,0.0,07.02.2018,34
161,negative,Ahrom Kim,Originally purchased in April Today I tried to use it and it goes into sleep mode no matter what Can not go past it useless after years,True,0.0,27.02.2018,27
162,positive,Dan M.,Bought this for my moms laptop she loves the speed improvement What an awesome upgrade,True,0.0,14.06.2018,15
163,positive,reenplease,Great size Easy to use Beautiful,True,0.0,10.04.2018,6
164,neutral,Watch Collector,After getting bored with my Apple Watch Series I tried a bunch of smart watches The short conclusion is that the only thing that rivals the Apple Watch is the Garmin Fenix or the Nothing comes close I have tried Samsung Gear Fitbit Ionic Suunto Spartan WHR Baro Suunto Spartan Trainer and the Huawei Watch Huawei Watch could have been a great alternative if it did not use Android Wear Android Wear Oreo is a complete drag still In fact at this I am fairly certain Google is going to put Android Wear out to pasture soon The OS really struggles on the watch and the battery drain even in Smart Power mode is much higher than specd This may have something to do with being paired to an iPhone as Android pairing apparently draws less power The Huawei work out app is simple but pleasant to use and the display is good but not as good as the samsung gear s What Huawei did as a smart move is to use the analytics from First Beat and that gives them an edge The sleep tracking feature part of Oreo update also works well Suunto Spartan Trainer and WHR Baro are both good but the trainer suffers from a catastrophically poor display and backlight The WHR Baro suffers from a very inaccurate and inconsistent heart rate sensor Suunto used to use First Beat licensed software for computing calories but no more Their in house calorie estimation is not as accurate After going through all these watches in the last weeks I would have to say I underestimated how good a watch the Apple Series is The battery life is phenomenal the user interface is intuitive Siri works great Hey Siri let us do an indoor bike ride and the display is bright and easy to read Where Apple fails for a serious endurance athlete is lack of power meter support on the bike and not detailed enough analysis of workouts Although you can use RunGap to upload your workouts to Strava Sleep tracking on the Apple Watch is decent using Autosleep app If you are an Android user I would go with either the Samsung Gear Sport S is HUGE or better yet with a Garmin or XT Skip the Vivoactive or the Fenix series weight,False,0.0,21.02.2018,386
165,neutral,RION,gri rated them at a for the longest time but i jave since lost them they did not fit snuggly around the next and acually blew off while rideing my motorcycle there is a little plastic compression clip designed to void this however is not effective up untill then i loved them,True,0.0,25.08.2018,52
166,neutral,Brent Miller,Fast and easy to set up but the range is terrible Only goes about feet Now I have to buy a repeater,True,0.0,25.08.2018,22
167,neutral,Kenneth Morris,Works as intended but very fragile,True,0.0,28.01.2018,6
169,neutral,Yuriy Boguslavsky,It would be a perfect backpack if not for one minor detail my Dell did not fit That rendered the backpack almost useless to me which is a shame I like it,True,0.0,24.01.2018,32
170,positive,Amazon Customer,Love this to protect my keyboard,True,0.0,15.02.2018,6
171,negative,dart,Multiple times my screen protector has broken while just carrying my iPad in this case No drops or falls Now it does not close all the way unless the ipad is on top giving extra weight so the auto off feature does not kick in draining the battery When it was less than month old the rubber around the iPad started loosening so my Pencil fell out and I lost it And I have noticed the iPad starting to come out at the top left corner and once the removable part just came out by itself The keyboard is great but the protective parts which is the main reason for this stink,True,0.0,05.07.2018,112
172,positive,Hammy,Easy to install great quality for the price and solid build Not a Bosch by any stretch but much better than store bought packages,True,0.0,08.09.2018,24
173,positive,JJJ,Excellent,True,0.0,12.04.2018,1
174,positive,ARIZONA P.,A great product,True,0.0,14.02.2018,3
176,negative,Marty B.,Quick Quiet computer in a small well built package Fast shipping Mine runs cool but I just got it and have not put it under heavy load yet Will update after some time Update The computer comes with the operating system installed and already commissioned It will not update and there are no CDs or keys to reinstall the OS I believe this operating system is not legitimate and is not trust worthy There was a card in the box that stated as a reward if you provide a star rating for this product Kingdel would send an OEM key that would work if you had to reinstall the OS I sent an email to the email address on the card and got a response that the customer service rep was on holiday for more days and they would respond after that I have my doubts that even if they send a new key that it would be authentic Its a shame It actually looked like a pretty nice piece of hardware I just will not deal with questionable sellers Downgraded to star and returning the device Bummer I really was excited about it,True,5.0,14.02.2018,194
177,neutral,BG,This was cheap enough Install was fairly easy but it is really difficult to get both legs exactly level If I were to do it again I would have done a one piece shelf,True,0.0,15.05.2018,34
178,positive,DVAB,Does exactly what its supposed to do,True,0.0,08.07.2018,7
179,neutral,J. A. Goldberg,Its fine Drops internet every hours or so for seconds That only gets annoying when on a meeting video call,True,0.0,22.06.2018,20
180,positive,Gaazmon,Great stick of ram My computer only came with gb x gb I know really weird right and with a slot open for another one So this works great Hopefully will last long but have bought crucial memory before on Amazon with zero issues so far in another system Well packaged,True,0.0,25.01.2018,51
182,negative,Mary,Need a professional to install,True,0.0,04.07.2018,5
